KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
598496,äÌpy,139,101,100,"8,00 %","0,00 %","0,00 %","14,00 %","0,00 %","8,00 %","5,00 %","1,00 %","4,00 %","2,00 %","0,00 %","0,00 %","7,00 %","0,00 %","0,00 %","3,00 %","36,00 %","0,00 %","2,00 %","1,00 %","1,00 %","2,00 %","0,00 %","0,00 %","6,00 %","0,00 %"
565326,ävihov,37,29,29,"17,24 %","0,00 %","0,00 %","3,44 %","0,00 %","0,00 %","27,58 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","17,24 %","0,00 %","0,00 %","3,44 %","13,79 %","0,00 %","0,00 %","0,00 %","0,00 %","6,89 %","0,00 %","0,00 %","10,34 %","0,00 %"
542504,T¯eboc,117,82,79,"7,59 %","0,00 %","0,00 %","5,06 %","0,00 %","12,65 %","27,84 %","1,26 %","0,00 %","0,00 %","0,00 %","0,00 %","2,53 %","0,00 %","0,00 %","0,00 %","29,11 %","0,00 %","0,00 %","0,00 %","0,00 %","1,26 %","0,00 %","2,53 %","10,12 %","0,00 %"
542512,T¯tice,407,235,233,"11,15 %","0,00 %","0,42 %","3,43 %","0,00 %","6,43 %","10,72 %","1,71 %","0,42 %","0,42 %","0,00 %","0,00 %","9,44 %","0,00 %","0,00 %","2,57 %","39,05 %","0,00 %","0,00 %","2,57 %","0,00 %","0,42 %","0,42 %","0,42 %","10,30 %","0,00 %"
565512,V·clavy,53,36,36,"0,00 %","0,00 %","0,00 %","2,77 %","0,00 %","2,77 %","5,55 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","13,88 %","0,00 %","0,00 %","5,55 %","38,88 %","0,00 %","2,77 %","0,00 %","0,00 %","0,00 %","0,00 %","2,77 %","22,22 %","2,77 %"
542563,Velk· Bukov·,227,137,134,"7,46 %","0,00 %","0,00 %","6,71 %","0,00 %","3,73 %","9,70 %","0,00 %","0,00 %","1,49 %","0,00 %","0,00 %","13,43 %","0,00 %","0,00 %","5,22 %","35,07 %","0,00 %","0,00 %","3,73 %","0,00 %","0,74 %","1,49 %","1,49 %","9,70 %","0,00 %"
529699,Velk· Chmeliötn·,59,45,45,"0,00 %","2,22 %","0,00 %","0,00 %","0,00 %","2,22 %","15,55 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","6,66 %","0,00 %","0,00 %","6,66 %","60,00 %","0,00 %","0,00 %","2,22 %","0,00 %","0,00 %","0,00 %","0,00 %","4,44 %","0,00 %"
565130,Vöesulov,92,50,50,"12,00 %","2,00 %","0,00 %","6,00 %","0,00 %","8,00 %","26,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,00 %","0,00 %","0,00 %","0,00 %","36,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,00 %","0,00 %"
542598,Vöetaty,253,142,142,"3,52 %","0,00 %","0,00 %","11,97 %","0,00 %","4,92 %","8,45 %","2,81 %","0,70 %","0,00 %","0,00 %","0,00 %","10,56 %","0,00 %","0,00 %","6,33 %","34,50 %","0,00 %","0,00 %","1,40 %","0,00 %","1,40 %","0,00 %","0,00 %","13,38 %","0,00 %"
542601,Zavidov,230,175,174,"8,04 %","0,00 %","0,00 %","11,49 %","0,00 %","6,32 %","11,49 %","0,00 %","0,00 %","0,57 %","0,00 %","0,00 %","6,32 %","0,57 %","0,00 %","3,44 %","34,48 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,57 %","0,00 %","16,66 %","0,00 %"
542610,ZbeËno,459,322,321,"7,47 %","0,00 %","0,00 %","9,65 %","0,00 %","5,29 %","9,34 %","0,62 %","0,62 %","2,18 %","0,00 %","0,00 %","18,06 %","0,00 %","0,00 %","6,85 %","30,21 %","0,00 %","0,31 %","1,86 %","0,00 %","0,93 %","0,00 %","0,00 %","6,54 %","0,00 %"
598518,éÔ·r,75,42,42,"4,76 %","0,00 %","0,00 %","0,00 %","0,00 %","7,14 %","42,85 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,14 %","0,00 %","0,00 %","2,38 %","26,19 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,14 %","2,38 %"
